,年齡層,道路型態,車種,事故型態,群
465,1,交岔路,機車,A2,0
466,1,交岔路,機車,A2,0
467,0,交岔路,機車,A2,0
468,2,交岔路,小貨車(含客、貨兩用),A2,2
469,1,交岔路,機車,A2,0
470,1,交岔路,小客車,A2,2
471,0,單路部分,機車,A2,1
472,1,交岔路,機車,A2,0
473,0,單路部分,小客車,A2,3
474,1,單路部分,小客車,A2,3
475,1,交岔路,機車,A2,0
476,1,單路部分,機車,A2,1
477,2,交岔路,機車,A2,0
478,1,交岔路,機車,A2,0
479,0,單路部分,機車,A2,1
480,0,交岔路,小客車,A2,2
481,2,交岔路,機車,A2,0
482,1,交岔路,小貨車(含客、貨兩用),A2,2
483,2,單路部分,,A2,1
484,0,單路部分,機車,A2,1
485,1,交岔路,機車,A2,0
486,1,交岔路,機車,A2,0
487,1,交岔路,機車,A2,0
488,2,交岔路,機車,A2,0
489,1,交岔路,機車,A2,0
490,1,單路部分,機車,A2,1
491,0,交岔路,機車,A2,0
492,1,交岔路,機車,A2,0
493,0,交岔路,機車,A2,0
494,1,單路部分,機車,A2,1
495,0,單路部分,機車,A2,1
496,1,交岔路,機車,A2,0
497,1,單路部分,小客車,A2,3
498,0,交岔路,小客車,A2,2
499,1,交岔路,機車,A2,0
500,2,交岔路,機車,A2,0
501,0,交岔路,機車,A2,0
502,0,單路部分,小客車,A2,3
503,1,單路部分,小客車,A2,3
504,2,交岔路,機車,A2,0
505,1,單路部分,機車,A2,1
506,2,交岔路,機車,A2,0
507,1,交岔路,機車,A2,0
508,1,單路部分,小客車,A2,3
509,1,交岔路,機車,A2,0
510,0,交岔路,機車,A2,0
511,0,單路部分,機車,A2,1
512,0,單路部分,機車,A2,1
513,2,交岔路,機車,A2,0
514,1,交岔路,機車,A2,0
515,2,交岔路,機車,A2,0
516,0,交岔路,小客車,A2,2
517,1,交岔路,機車,A2,0
518,0,交岔路,機車,A2,0
519,1,單路部分,小客車,A2,3
520,1,單路部分,小客車,A2,3
521,1,交岔路,機車,A2,0
522,0,交岔路,小客車,A2,2
523,0,交岔路,機車,A2,0
524,1,單路部分,機車,A2,1
525,0,交岔路,機車,A2,0
526,2,單路部分,人,A2,3
527,0,單路部分,機車,A2,1
528,2,交岔路,機車,A2,0
529,0,單路部分,機車,A2,1
530,2,單路部分,,A2,1
531,0,單路部分,慢車,A2,3
532,1,交岔路,小客車,A2,2
533,0,單路部分,機車,A2,1
534,2,交岔路,,A2,0
535,1,交岔路,機車,A2,0
536,2,交岔路,機車,A2,0
537,1,交岔路,小貨車(含客、貨兩用),A2,2
538,1,交岔路,小客車,A2,2
539,1,交岔路,機車,A2,0
540,1,單路部分,機車,A2,1
541,1,交岔路,機車,A2,0
542,0,交岔路,機車,A2,0
543,2,交岔路,機車,A2,0
544,1,單路部分,機車,A2,1
545,0,單路部分,機車,A2,1
546,1,單路部分,小客車,A2,3
547,2,交岔路,小客車,A2,2
548,0,交岔路,機車,A2,0
549,2,交岔路,機車,A2,0
550,1,交岔路,小貨車(含客、貨兩用),A2,2
551,0,交岔路,小客車,A2,2
552,1,單路部分,小客車,A2,3
553,2,單路部分,小客車,A2,3
554,1,單路部分,機車,A2,1
555,2,單路部分,機車,A2,1
556,0,交岔路,機車,A2,0
557,1,單路部分,小客車,A2,3
558,0,交岔路,機車,A2,0
559,1,單路部分,機車,A2,1
560,1,交岔路,機車,A2,0
561,1,交岔路,機車,A2,0
562,2,單路部分,機車,A2,1
563,0,交岔路,機車,A2,0
564,2,交岔路,機車,A2,0
565,1,交岔路,機車,A2,0
566,1,交岔路,小客車,A2,2
567,2,交岔路,小客車,A2,2
568,1,單路部分,機車,A2,1
569,1,交岔路,小客車,A2,2
570,0,交岔路,小客車,A2,2
571,0,交岔路,機車,A2,0
572,2,交岔路,慢車,A2,2
573,0,單路部分,機車,A2,1
574,2,交岔路,機車,A2,0
575,1,交岔路,小貨車(含客、貨兩用),A2,2
576,1,單路部分,機車,A2,1
577,1,交岔路,小客車,A2,2
578,1,交岔路,小客車,A2,2
579,1,單路部分,機車,A2,1
580,0,單路部分,小客車,A2,3
581,0,交岔路,機車,A2,0
582,1,交岔路,機車,A2,0
583,2,單路部分,機車,A2,1
584,1,單路部分,小客車,A2,3
585,1,單路部分,機車,A2,1
586,0,交岔路,機車,A2,0
587,2,單路部分,機車,A2,1
